time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-02-19T22:05:56.260Z,84.7659,-4.5536,10,4.6,mb,,53,6.283,0.8,us,us2000d4z8,2018-02-19T22:26:58.040Z,"North of Svalbard",earthquake,10.2,1.9,0.056,95,reviewed,us,us
2018-02-19T21:52:27.590Z,40.4625,-121.5333333,4.27,3.37,ml,38,89,0.06157,0.18,nc,nc72972316,2018-02-19T23:07:39.698Z,"12km NNE of Mineral, CA",earthquake,0.29,0.94,0.707,4,reviewed,nc,nc
2018-02-19T21:34:29.080Z,10.9495,-86.358,49.08,4.4,mb,,167,0.785,0.8,us,us2000d4yf,2018-02-19T22:00:12.040Z,"62km WSW of San Juan del Sur, Nicaragua",earthquake,6.4,11.3,0.123,19,reviewed,us,us
2018-02-19T21:31:39.090Z,36.0885,44.7946,10,4.3,mb,,64,1.228,0.82,us,us2000d4y8,2018-02-19T22:46:57.040Z,"15km E of Kuysinjaq, Iraq",earthquake,6,1.8,0.074,51,reviewed,us,us
2018-02-19T21:26:29.890Z,19.1469994,-155.4656677,32.76,2.8,ml,13,246,0.1107,0.18,hv,hv70041182,2018-02-19T21:32:05.640Z,"6km SSE of Pahala, Hawaii",earthquake,1.22,1.55,0.3,15,automatic,hv,hv
2018-02-19T21:10:15.930Z,40.463665,-121.5384979,4.08,2.79,md,27,89,0.05833,0.13,nc,nc72972301,2018-02-19T22:32:03.025Z,"12km NNE of Mineral, CA",earthquake,0.33,0.78,0.17,25,automatic,nc,nc
2018-02-19T19:40:37.752Z,56.4551,-148.7472,10,3.9,ml,,,,0.8,ak,ak18460045,2018-02-19T19:54:38.779Z,"266km ESE of Kodiak, Alaska",earthquake,,0,,,reviewed,ak,ak
2018-02-19T18:29:58.817Z,56.8123,-155.0087,46.6,4.4,ml,,,,0.52,ak,ak18459471,2018-02-19T19:50:49.126Z,"100km SW of Larsen Bay, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2018-02-19T17:59:44.023Z,56.0994,-149.1622,11.8,2.6,ml,,,,0.54,ak,ak18459466,2018-02-19T22:04:47.553Z,"272km SE of Kodiak, Alaska",earthquake,,17.3,,,reviewed,ak,ak
2018-02-19T16:58:46.254Z,59.9072,-154.1927,197.7,2.8,ml,,,,0.65,ak,ak18458922,2018-02-19T17:07:52.159Z,"44km ENE of Old Iliamna, Alaska",earthquake,,1.3,,,automatic,ak,ak
